Date,Open,High,Low,Close,Adj Close,Volume
2015-07-10,2650.000000,2680.000000,2650.000000,2660.000000,2340.492188,42836500
2015-07-13,2660.000000,2710.000000,2660.000000,2700.000000,2375.687500,53040500
2015-07-14,2710.000000,2730.000000,2700.000000,2720.000000,2393.285889,41833500
2015-07-15,2695.000000,2700.000000,2680.000000,2700.000000,2375.687500,61445000
2015-07-22,2715.000000,2715.000000,2655.000000,2710.000000,2384.486328,89975500
2015-07-23,2720.000000,2780.000000,2705.000000,2750.000000,2419.682129,37129500
2015-07-24,2755.000000,2755.000000,2720.000000,2745.000000,2415.281982,19026000
2015-07-27,2700.000000,2705.000000,2640.000000,2690.000000,2366.888428,64015500
2015-07-28,2640.000000,2645.000000,2580.000000,2600.000000,2287.699219,112963500
2015-07-29,2600.000000,2630.000000,2530.000000,2570.000000,2261.302490,81937500
2015-07-30,2575.000000,2625.000000,2560.000000,2560.000000,2252.503418,46801000
2015-07-31,2590.000000,2630.000000,2570.000000,2620.000000,2305.296875,115876500
2015-08-03,2585.000000,2650.000000,2585.000000,2650.000000,2331.693115,61213000
2015-08-04,2660.000000,2680.000000,2625.000000,2660.000000,2340.492188,44712500
2015-08-05,2660.000000,2770.000000,2645.000000,2740.000000,2410.882813,73984500
2015-08-06,2740.000000,2780.000000,2740.000000,2760.000000,2428.479980,66426000
2015-08-07,2740.000000,2760.000000,2715.000000,2750.000000,2419.682129,27262000
2015-08-10,2730.000000,2770.000000,2715.000000,2770.000000,2437.279541,25633500
2015-08-11,2770.000000,2780.000000,2670.000000,2710.000000,2384.486328,52619000
2015-08-12,2640.000000,2650.000000,2595.000000,2630.000000,2314.095703,148795000
2015-08-13,2570.000000,2645.000000,2570.000000,2640.000000,2322.894287,102339000
2015-08-14,2650.000000,2655.000000,2635.000000,2650.000000,2331.693115,31860000
2015-08-18,2650.000000,2665.000000,2585.000000,2595.000000,2283.299805,102204500
2015-08-19,2570.000000,2590.000000,2530.000000,2540.000000,2234.905762,82035000
2015-08-20,2540.000000,2540.000000,2450.000000,2455.000000,2160.115967,127105500
2015-08-21,2420.000000,2440.000000,2370.000000,2375.000000,2089.725342,109838000
2015-08-24,2280.000000,2370.000000,2200.000000,2260.000000,1988.538086,173094000
2015-08-25,2300.000000,2395.000000,2280.000000,2325.000000,2045.730835,184156000
2015-08-26,2370.000000,2380.000000,2305.000000,2370.000000,2085.325928,104006500
2015-08-27,2430.000000,2550.000000,2430.000000,2520.000000,2217.308594,113488500
2015-08-28,2570.000000,2580.000000,2550.000000,2570.000000,2261.302490,108531000
2015-08-31,2570.000000,2580.000000,2545.000000,2580.000000,2270.101318,98327000
2015-09-01,2570.000000,2570.000000,2500.000000,2515.000000,2212.909180,51436500
2015-09-02,2440.000000,2490.000000,2440.000000,2455.000000,2160.115967,106837000
2015-09-03,2485.000000,2490.000000,2450.000000,2460.000000,2164.515137,44130500
2015-09-04,2455.000000,2455.000000,2435.000000,2450.000000,2155.716553,50424000
2015-09-07,2440.000000,2440.000000,2385.000000,2385.000000,2098.523682,35620000
2015-09-08,2365.000000,2400.000000,2350.000000,2360.000000,2076.526855,66183500
2015-09-09,2380.000000,2405.000000,2380.000000,2385.000000,2098.523682,53327500
2015-09-10,2370.000000,2405.000000,2355.000000,2385.000000,2098.523682,63130500
2015-09-11,2400.000000,2400.000000,2380.000000,2385.000000,2098.523682,45032500
2015-09-14,2400.000000,2425.000000,2385.000000,2420.000000,2129.319824,35836000
2015-09-15,2400.000000,2420.000000,2365.000000,2390.000000,2102.923584,38335000
2015-09-16,2380.000000,2385.000000,2360.000000,2370.000000,2085.325928,66782000
2015-09-17,2390.000000,2445.000000,2385.000000,2445.000000,2151.317139,57698000
2015-09-18,2420.000000,2455.000000,2410.000000,2455.000000,2160.115967,99438000
2015-09-21,2420.000000,2445.000000,2405.000000,2435.000000,2142.517822,47211000
2015-09-22,2410.000000,2440.000000,2410.000000,2430.000000,2138.118408,58871000
2015-09-23,2385.000000,2400.000000,2370.000000,2375.000000,2089.725342,90731500
2015-09-25,2385.000000,2395.000000,2345.000000,2360.000000,2076.526855,71245500
2015-09-28,2350.000000,2350.000000,2290.000000,2295.000000,2019.334595,49442500
2015-09-29,2275.000000,2395.000000,2260.000000,2380.000000,2094.124268,68056000
2015-09-30,2400.000000,2490.000000,2380.000000,2455.000000,2160.115967,91292000
2015-10-01,2460.000000,2500.000000,2400.000000,2400.000000,2111.721924,49868500
2015-10-02,2400.000000,2470.000000,2375.000000,2375.000000,2089.725342,43348000
2015-10-05,2460.000000,2560.000000,2435.000000,2510.000000,2208.509521,110755500
2015-10-06,2520.000000,2615.000000,2520.000000,2590.000000,2278.900391,141434500
2015-10-07,2600.000000,2640.000000,2590.000000,2600.000000,2287.699219,121875500
2015-10-08,2620.000000,2670.000000,2605.000000,2620.000000,2305.296875,80631000
2015-10-09,2665.000000,2685.000000,2640.000000,2640.000000,2322.894287,148204000
2015-10-12,2650.000000,2720.000000,2650.000000,2675.000000,2353.689941,154913500
2015-10-13,2680.000000,2680.000000,2585.000000,2590.000000,2278.900391,86162000
2015-10-15,2600.000000,2630.000000,2585.000000,2595.000000,2283.299805,112243500
2015-10-16,2600.000000,2600.000000,2550.000000,2560.000000,2252.503418,80741500
2015-10-19,2560.000000,2655.000000,2560.000000,2625.000000,2309.696045,75688000
2015-10-20,2655.000000,2660.000000,2630.000000,2640.000000,2322.894287,76519500
2015-10-21,2660.000000,2700.000000,2660.000000,2665.000000,2344.891357,48500500
2015-10-22,2690.000000,2700.000000,2670.000000,2680.000000,2358.089355,41297500
2015-10-23,2755.000000,2755.000000,2685.000000,2695.000000,2371.287598,54593500
2015-10-26,2730.000000,2745.000000,2715.000000,2730.000000,2402.083496,72511000
2015-10-27,2710.000000,2740.000000,2690.000000,2730.000000,2402.083496,41899000
2015-10-28,2685.000000,2745.000000,2685.000000,2715.000000,2388.885498,51959500
2015-10-29,2725.000000,2745.000000,2600.000000,2630.000000,2314.095703,73029000
2015-10-30,2650.000000,2650.000000,2580.000000,2580.000000,2270.101318,66730000
2015-11-02,2560.000000,2580.000000,2535.000000,2555.000000,2248.104248,85304000
2015-11-03,2580.000000,2645.000000,2580.000000,2630.000000,2314.095703,61280000
2015-11-04,2650.000000,2725.000000,2650.000000,2685.000000,2362.489746,81950500
2015-11-05,2700.000000,2745.000000,2665.000000,2710.000000,2384.486328,58454500
2015-11-06,2750.000000,2750.000000,2690.000000,2710.000000,2384.486328,28853500
2015-11-09,2700.000000,2700.000000,2605.000000,2625.000000,2309.696045,37358000
2015-11-10,2600.000000,2650.000000,2585.000000,2585.000000,2274.500732,68137000
2015-11-11,2590.000000,2625.000000,2585.000000,2595.000000,2283.299805,43298000
2015-11-12,2595.000000,2660.000000,2595.000000,2595.000000,2283.299805,26996500
2015-11-13,2580.000000,2605.000000,2580.000000,2585.000000,2284.183105,39106500
2015-11-16,2570.000000,2580.000000,2530.000000,2580.000000,2279.764893,36399000
2015-11-17,2620.000000,2660.000000,2620.000000,2625.000000,2319.528076,77918000
2015-11-18,2625.000000,2665.000000,2610.000000,2615.000000,2310.691895,34843500
